"id","created_at","open","comments_count","changes_count","closed_at","min_lat","min_lon","max_lat","max_lon","uid","user","tags.changesets_count","tags.comment","tags.created_by","tags.hashtags","tags.host","tags.imagery_used","tags.locale","tags.review_requested","tags.warnings:close_nodes:vertices","tags.source","tags.warnings:disconnected_way:highway","tags.warnings:outdated_tags:noncanonical_brand","tags.ideditor:walkthrough_progress","tags.ideditor:walkthrough_started","tags.warnings:crossing_ways:building-highway","tags.data_used","tags.resolved:disconnected_way:highway","tags.warnings:y_shaped_connection","tags.resolved:crossing_ways:highway-highway","tags.warnings:crossing_ways:building-building","tags.warnings:impossible_oneway:highway","tags.resolved:crossing_ways:building-building","tags.resolved:crossing_ways:building-highway","tags.warnings:missing_tag:any","tags.warnings:missing_tag:descriptive","tags.resolved:missing_tag:any","tags.resolved:missing_tag:descriptive","tags.warnings:missing_tag:highway_classification","tags.resolved:close_nodes:vertices","tags.answer","tags.theme","tags.change_over_5000m","tags.create","tags.add-image","tags.change_within_25m","tags.warnings:crossing_ways:highway-highway","tags.warnings:almost_junction:highway-highway"
151127563,"2024-05-10T05:47:45Z",FALSE, 0,194,"2024-05-10T05:47:47Z",-12.9326211, -38.43992,-12.932028, -38.43813,21184792,"abne dias",12,#osmus-tasks-538,iD 2.21.1,#osmus-tasks-538,https://tasks.openstreetmap.us/projects/538/map/,Esri World Imagery (Clarity) Beta;.gpx data file,pt-BR,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151034194,"2024-05-08T02:23:13Z",FALSE, 0, 50,"2024-05-08T02:23:14Z",-12.9319406, -38.43851,-12.931767, -38.43809,21184792,"abne dias",11,#osmus-tasks-538,iD 2.21.1,#osmus-tasks-538,https://tasks.openstreetmap.us/projects/538/map/,Esri World Imagery (Clarity) Beta;.gpx data file;Esri World Imagery,pt-BR,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150992793,"2024-05-07T06:15:55Z",FALSE, 0,210,"2024-05-07T06:15:57Z",-12.9312067, -38.43994,-12.930821, -38.43881,21184792,"abne dias",10,#osmus-tasks-538,iD 2.21.1,#osmus-tasks-538,https://tasks.openstreetmap.us/projects/538/map/,Esri World Imagery (Clarity) Beta;.gpx data file,pt-BR,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150989659,"2024-05-07T04:17:08Z",FALSE, 0, 24,"2024-05-07T04:17:10Z",-12.9146130, -38.44079,-12.914404, -38.44020,21184792,"abne dias",9,#osmus-tasks-538,iD 2.21.1,#osmus-tasks-538,https://tasks.openstreetmap.us/projects/538/map/,Esri World Imagery;.gpx data file,pt-BR,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150325825,"2024-04-22T04:11:14Z",FALSE, 0, 56,"2024-04-22T04:11:16Z",-12.9154655, -38.44188,-12.914323, -38.44090,21184792,"abne dias",8,#osmus-tasks-538,iD 2.21.1,#osmus-tasks-538,https://tasks.openstreetmap.us/projects/538/map/,Esri World Imagery;Esri World Imagery (Clarity) Beta;.gpx data file,pt-BR,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150014179,"2024-04-15T00:46:11Z",FALSE, 0,  5,"2024-04-15T00:46:12Z",-12.9143782, -38.44144,-12.914244, -38.44134,21184792,"abne dias",7,#osmus-tasks-538,iD 2.21.1,#osmus-tasks-538,https://tasks.openstreetmap.us/projects/538/map/,Esri World Imagery,pt-BR,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150014096,"2024-04-15T00:41:07Z",FALSE, 0, 65,"2024-04-15T00:41:08Z",-12.9146565, -38.44173,-12.914252, -38.44126,21184792,"abne dias",6,#osmus-tasks-538,iD 2.21.1,#osmus-tasks-538,https://tasks.openstreetmap.us/projects/538/map/,Esri World Imagery,pt-BR,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149983281,"2024-04-14T09:18:18Z",FALSE, 0, 19,"2024-04-14T09:18:19Z",-12.9155485, -38.44563,-12.912338, -38.44104,21184792,"abne dias",5,#osmus-tasks-538,iD 2.21.1,#osmus-tasks-538,https://tasks.openstreetmap.us/projects/538/map/,Esri World Imagery;.gpx data file,pt-BR,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149982370,"2024-04-14T08:59:47Z",FALSE, 0, 21,"2024-04-14T08:59:48Z",-12.9142465, -38.44174,-12.913714, -38.44118,21184792,"abne dias",4,#osmus-tasks-538,iD 2.21.1,#osmus-tasks-538,https://tasks.openstreetmap.us/projects/538/map/,Esri World Imagery (Clarity) Beta;.gpx data file,pt-BR,yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149981715,"2024-04-14T08:42:35Z",FALSE, 0,115,"2024-04-14T08:42:36Z",-12.9145438, -38.44142,-12.913816, -38.44108,21184792,"abne dias",3,#osmus-tasks-538,iD 2.21.1,#osmus-tasks-538,https://tasks.openstreetmap.us/projects/538/map/,Esri World Imagery;.gpx data file,pt-BR,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
